label;PCL Intersection;Mesh Intersection;image;location
LOCKER;[5.19201, 0.78588, 3.83885, 0.0, -48.555, 55.147];;data/images/isaac_sci_cam_image_delayed/1657550544.667.jpg;[[4448 1558] [4504 1620]]
UNIT;[5.40585, 0.840327, 4.33989, 0.0, -28.0828, 48.027];;data/images/isaac_sci_cam_image_delayed/1657550544.667.jpg;[[4672 3251] [4734 3287]]
TERMINAL;[5.37181, 0.775764, 4.36602, 0.0, -28.471, 47.0587];;data/images/isaac_sci_cam_image_delayed/1657550544.667.jpg;[[4563 3235] [4672 3272]]
START;[5.38227, 0.848928, 4.3986, 0.0, -21.1853, 48.8519];;data/images/isaac_sci_cam_image_delayed/1657550544.667.jpg;[[4816 3649] [5198 4081]]
n;[4.60855, 0.00175503, 4.84399, 0.0, -21.4393, 38.1471];;data/images/isaac_sci_cam_image_delayed/1657550544.667.jpg;[[4075 3938] [4157 4005]]
OHB;[1.93798, -0.934105, 4.74271, 0.0, -8.88886, -126.419];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1945 2978] [2054 3023]]
303;[1.49705, -0.922516, 3.82482, 0.0, -35.7985, -139.819];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1317  864] [1360  894]]
16412;[1.51102, -0.936282, 3.83195, 0.0, -35.7043, -139.057];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1355  880] [1417  916]]
Sup;[1.56924, -0.88098, 3.89577, 0.0, -35.3317, -139.346];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1343  909] [1381  936]]
&Power;[1.54713, -0.9231, 3.87294, 0.0, -35.2443, -138.524];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1379  921] [1454  966]]
EPORT;[1.69684, -0.723968, 4.06734, 0.0, -34.5911, -140.822];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1214  935] [1294  973]]
LAB1P4;[1.71453, -0.788046, 4.20996, 0.0, -29.3459, -138.115];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1292 1359] [1436 1429]]
EXPRESSA.;[1.58548, -0.788021, 4.20982, 0.0, -27.572, -141.922];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[ 973 1435] [1170 1504]]
Port;[1.57877, -0.784445, 4.45267, 0.0, -19.2838, -142.127];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[ 907 2085] [ 944 2108]]
Sample;[1.54716, -0.790891, 4.44713, 0.0, -19.0724, -142.746];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[ 844 2091] [ 909 2120]]
CO2;[1.5244, -0.791025, 4.44458, 0.0, -18.9198, -143.32];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[ 805 2097] [ 851 2126]]
REDCO2SC;[2.69603, 0.0266993, 4.83422, 0.0, -6.6122, -145.61];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[ 359 3056] [ 453 3097]]
SEG3333116412-;[1.52916, -0.943815, 3.83386, 0.0, -35.7665, -138.512];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1351  862] [1493  946]]
P/N;[1.6948, -0.842265, 3.98097, 0.0, -35.5575, -137.218];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1485  918] [1522  958]]
Spectrum;[1.8945, -1.01993, 4.26289, 0.0, -26.595, -125.847];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[2088 1693] [2205 1735]]
ANITA-2;[1.7982, -1.02305, 4.57416, 0.0, -14.6351, -128.948];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1818 2545] [1892 2575]]
SIN';[1.99091, -0.930804, 4.7418, 0.0, -9.18257, -124.592];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[2107 2972] [2162 3000]]
Facility;[1.96739, -0.711679, 4.86966, 0.0, -3.98471, -132.207];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1481 3350] [1551 3380]]
Power;[1.9845, -0.718876, 4.86483, 0.0, -4.01731, -131.406];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1549 3352] [1612 3380]]
SERFE;[2.02535, -0.757813, 4.86675, 0.0, -4.08426, -128.349];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1784 3355] [1856 3387]]
J2;[1.99663, -0.720004, 4.86882, 0.0, -3.79376, -130.823];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1609 3375] [1635 3399]]
PINSEN39139700-301;[2.02045, -0.770984, 4.86684, 0.0, -2.70934, -128.006];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1770 3469] [1900 3493]]
PWT2;[1.99952, -0.737185, 4.86867, 0.0, -1.05045, -130.203];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1617 3596] [1674 3629]]
TERFE;[2.02477, -0.773343, 4.8665, 0.0, 0.875747, -127.502];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[1813 3771] [1878 3794]]
No.;[2.05195, -0.869586, 4.86202, 0.0, 1.5557, -123.358];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[2157 3822] [2181 3871]]
DF1004;[2.29987, -0.903812, 3.94714, 0.0, -43.3358, -111.244];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[3046  461] [3079  530]]
ETHERNET;[2.42771, -0.669893, 4.25588, 0.0, -41.2234, -108.818];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[3149  631] [3255  682]]
IN:038;[2.28646, -0.615754, 4.2544, 0.0, -40.7144, -119.942];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[2545  687] [2595  711]]
P3;[2.43454, -0.864467, 4.34115, 0.0, -31.6588, -104.713];;data/images/isaac_sci_cam_image_delayed/1657544571.825.jpg;[[3458 1338] [3509 1378]]
CHE;[3.5608, -0.66767, 3.76651, 0.0, -40.4213, -148.92];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[3006  676] [3214  901]]
1;[-0.902237, -0.551215, 4.10496, 0.0, -8.49904, -173.969];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[1216 3008] [1418 3121]]
PORTABLEFANASSY;[2.93537, 0.174484, 3.78511, 0.0, -32.7706, 176.205];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[ 848 1056] [1003 1126]]
REDEMUTION;[2.88821, 0.167312, 3.76594, 0.0, -32.5146, 176.214];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[ 876 1086] [ 973 1139]]
SEG11160291-705;[2.85812, 0.153146, 3.77937, 0.0, -31.5939, 176.67];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[ 882 1165] [ 997 1213]]
S/N;[2.81308, 0.186196, 3.76117, 0.0, -31.4651, 175.755];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[ 860 1175] [ 883 1192]]
1032;[2.82475, 0.175495, 3.76524, 0.0, -31.4614, 176.145];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[ 882 1181] [ 917 1203]]
ANT-13;[1.26127, -0.138235, 3.74291, 0.0, -19.1497, -176.936];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[1188 2207] [1248 2248]]
PINIZIES-48024-2;[3.84182, -0.18029, 3.91908, 0.0, -47.8303, -165.882];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[2158  108] [2248  194]]
EXPRESSERIA;[3.96411, -0.142683, 4.07354, 0.0, -47.3661, -166.266];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[2139  147] [2222  226]]
THE;[3.30912, -0.6052, 3.79668, 0.0, -35.975, -155.622];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[2677 1087] [2771 1171]]
SAMS-D;[3.28927, -0.672829, 3.77504, 0.0, -35.8225, -153.578];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[2792 1079] [2902 1204]]
S/N;[3.32134, -1.00393, 3.82878, 0.0, -32.227, -143.47];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[3448 1360] [3483 1389]]
LAB102WALL;[3.86557, -0.662936, 3.75258, 0.0, -46.5565, -141.131];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[3463  156] [3564  333]]
A31P;[3.41949, -0.946831, 3.86506, 0.0, -33.2309, -143.126];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[3457 1279] [3503 1316]]
28VDCPO;[3.41964, -0.978942, 3.86656, 0.0, -32.6663, -142.279];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[3488 1295] [3586 1374]]
P/NSEG3;[3.35432, -1.00307, 3.84635, 0.0, -32.2325, -142.894];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[3454 1334] [3549 1406]]
1347;[3.34961, -1.00574, 3.85393, 0.0, -31.908, -142.922];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[3472 1373] [3528 1419]]
01;[3.35914, -1.06545, 3.87519, 0.0, -31.0906, -141.168];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[3607 1434] [3632 1455]]
PRESS;[3.49564, -1.11958, 4.07667, 0.0, -27.0334, -137.028];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[3854 1650] [3991 1761]]
EXHAUST;[3.2236, -1.13324, 4.24737, 0.0, -20.0915, -142.123];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[3593 2216] [3651 2281]]
cables;[3.44776, -1.20841, 4.44527, 0.0, -15.5356, -135.991];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4057 2520] [4150 2586]]
re-route;[3.55024, -1.15389, 4.4901, 0.0, -15.1224, -134.79];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4140 2532] [4259 2620]]
not;[3.52508, -1.13225, 4.50213, 0.0, -14.7921, -135.928];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4082 2581] [4149 2638]]
Do;[3.46242, -1.16844, 4.486, 0.0, -14.5732, -136.532];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4049 2614] [4089 2646]]
120VDC;[4.02135, -0.989133, 4.17881, 0.0, -31.1802, -125.11];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4693 1178] [4733 1283]]
ON;[4.09222, -0.922636, 4.26197, 0.0, -30.3281, -124.142];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4787 1263] [4820 1298]]
P;[4.11343, -0.902222, 4.27826, 0.0, -30.4208, -123.701];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4771 1221] [4894 1308]]
120VOC/1563;[3.8639, -1.18955, 4.14188, 0.0, -28.3135, -125.597];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4702 1366] [4749 1556]]
ON;[3.93303, -1.13727, 4.21042, 0.0, -27.3712, -124.616];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4803 1499] [4834 1536]]
POWERON;[3.8595, -1.20477, 4.19477, 0.0, -26.1729, -125.238];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4778 1578] [4803 1667]]
UTION;[3.92743, -1.17433, 4.23066, 0.0, -25.9356, -123.929];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4847 1601] [4946 1636]]
VDC;[3.94864, -1.15676, 4.282, 0.0, -24.8597, -123.678];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4892 1678] [4980 1718]]
INPU;[3.94049, -1.18182, 4.27342, 0.0, -24.563, -123.257];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4921 1690] [5032 1736]]
120;[3.91083, -1.16029, 4.26587, 0.0, -24.8994, -124.808];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4810 1697] [4884 1735]]
MAX;[3.89453, -1.19431, 4.26005, 0.0, -24.5942, -124.576];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4823 1714] [4913 1759]]
GN;[3.98812, -1.21872, 4.33063, 0.0, -22.4795, -120.064];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[5272 1806] [5312 1839]]
Facility;[3.86801, -1.20025, 4.4705, 0.0, -17.3879, -125.135];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4925 2299] [4977 2328]]
LED;[3.97107, -1.04278, 4.52899, 0.0, -17.3034, -125.572];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4896 2313] [4931 2340]]
BRIC;[3.84005, -1.20167, 4.46213, 0.0, -17.2107, -125.966];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4862 2322] [4904 2353]]
Electronics;[3.83173, -1.08712, 4.51305, 0.0, -16.6805, -128.798];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4587 2374] [4721 2447]]
Power;[3.81565, -1.06084, 4.52465, 0.0, -16.412, -129.976];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4522 2421] [4599 2466]]
POWER;[3.86839, -1.2003, 4.52157, 0.0, -15.6371, -125.078];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4954 2433] [5020 2476]]
OPEN;[3.84906, -1.22772, 4.60799, 0.0, -11.8342, -125.09];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[5028 2751] [5078 2781]]
CB;[4.2174, -0.719287, 4.76953, 0.0, -11.4031, -125.09];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[5045 2792] [5075 2815]]
OWER;[3.66714, -1.1823, 4.61019, 0.0, -11.5165, -131.414];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4488 2824] [4535 2854]]
1;[4.0476, -0.712987, 4.8565, 0.0, 0.173708, -132.652];;data/images/isaac_sci_cam_image_delayed/1657550099.706.jpg;[[4486 3693] [4638 3972]]
10-6192;[4.14084, 0.431133, 3.73279, 0.0, -63.1181, 33.8144];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 465  127] [1247  768]]
CONDERENCENDENTES;[4.02745, 0.694532, 3.783, 0.0, -54.4858, 55.1199];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 200 1349] [ 582 1633]]
0-5285;[3.6576, 0.0189841, 4.83412, 0.0, -52.3589, 58.0358];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[  25 1494] [ 548 1893]]
RODENT;[3.6576, 0.0189841, 4.83412, 0.0, -53.8436, 52.5938];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 210 1345] [ 338 1445]]
(EARLY;[3.6576, 0.0189841, 4.83412, 0.0, -53.6859, 53.1801];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 216 1383] [ 332 1473]]
SPX-24;[4.02994, 0.688686, 3.7832, 0.0, -56.9295, 55.7043];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 564 1405] [ 652 1472]]
RESEARCH;[4.02994, 0.688686, 3.7832, 0.0, -54.5887, 54.923];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 317 1417] [ 474 1538]]
10;[3.6576, 0.0189841, 4.83412, 0.0, -53.0338, 55.1506];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 239 1506] [ 297 1574]]
CAT22;[4.03139, 0.745423, 3.74134, 0.0, -55.315, 57.2264];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 452 1509] [ 568 1599]]
CTB;[3.6576, 0.0189841, 4.83412, 0.0, -53.4278, 55.6923];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 279 1523] [ 347 1582]]
3124772-;[3.6576, 0.0189841, 4.83412, 0.0, -53.4545, 56.6849];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 312 1569] [ 375 1617]]
RODENT;[3.98835, 0.759267, 3.76584, 0.0, -56.7921, 63.698];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 719 1706] [ 852 1806]]
(EARLY;[3.9809, 0.77552, 3.7541, 0.0, -56.5196, 64.1524];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 726 1744] [ 831 1825]]
RESEARCH;[3.94262, 0.768862, 3.75896, 0.0, -57.5243, 66.9326];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 836 1780] [1009 1901]]
Y;[3.97155, 0.775169, 3.75734, 0.0, -56.8018, 65.3578];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 820 1803] [ 839 1825]]
Absorbent;[3.97512, 0.831769, 3.73485, 0.0, -55.6964, 66.8965];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 728 1872] [ 860 1967]]
CAT22;[3.90534, 0.779576, 3.73069, 0.0, -58.2125, 70.1699];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 992 1870] [1118 1956]]
Access;[3.98004, 0.834277, 3.73725, 0.0, -55.3427, 66.7891];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 718 1893] [ 814 1966]]
Sharps;[3.97013, 0.836591, 3.75145, 0.0, -55.082, 67.0125];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 707 1914] [ 801 1986]]
Pad-;[3.94053, 0.825235, 3.74589, 0.0, -56.1333, 68.9294];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 846 1941] [ 920 2002]]
Unit;[3.9509, 0.831077, 3.75017, 0.0, -55.6823, 68.3297];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 802 1944] [ 866 1996]]
Container;[3.93856, 0.837201, 3.75339, 0.0, -55.5538, 69.1801];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 788 1962] [ 911 2054]]
Kit-;[3.93815, 0.833242, 3.74394, 0.0, -55.9146, 69.441];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 851 1973] [ 913 2023]]
20;[3.9219, 0.823557, 3.73817, 0.0, -56.3631, 70.0652];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 914 1986] [ 944 2012]]
17;[3.91078, 0.835844, 3.74803, 0.0, -55.9489, 71.1334];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 921 2044] [ 949 2071]]
LOCK;[3.94152, 0.888772, 3.76051, 0.0, -51.6294, 69.1089];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 538 2171] [ 609 2227]]
COOLANT;[3.79954, 0.942321, 3.74775, 0.0, -53.5964, 80.0733];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[1024 2426] [1141 2511]]
PORT;[3.6576, 0.0189841, 4.83412, 0.0, -45.103, 70.0582];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[  56 2539] [ 178 2630]]
USE;[3.6576, 0.0189841, 4.83412, 0.0, -45.5156, 70.2272];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 134 2548] [ 187 2592]]
MAX;[3.85529, 1.0269, 3.78745, 0.0, -45.9852, 75.8639];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 411 2757] [ 464 2800]]
MIN;[3.6576, 0.0189841, 4.83412, 0.0, -45.4665, 75.9605];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 382 2793] [ 430 2832]]
MODE;[3.6576, 0.0189841, 4.83412, 0.0, -43.6937, 75.1781];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 204 2865] [ 284 2926]]
GENERA;[3.6576, 0.0189841, 4.83412, 0.0, -44.044, 76.4999];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 291 2899] [ 369 2956]]
OFF;[3.6576, 0.0189841, 4.83412, 0.0, -42.8556, 75.3163];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 161 2934] [ 215 2976]]
PRE;[3.6576, 0.0189841, 4.83412, 0.0, -43.4715, 76.2753];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 264 2942] [ 297 2965]]
SLEEP;[3.6576, 0.0189841, 4.83412, 0.0, -43.5823, 76.9415];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 292 2953] [ 348 2996]]
PHASE;[3.6576, 0.0189841, 4.83412, 0.0, -42.9989, 76.492];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 213 2963] [ 294 3021]]
SHIFT;[3.6576, 0.0189841, 4.83412, 0.0, -43.1221, 77.3736];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 282 3001] [ 335 3044]]
it;[3.6576, 0.0189841, 4.83412, 0.0, -36.0911, 85.5721];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[ 107 3762] [ 427 3998]]
LOCKER;[3.97912, 0.188517, 3.7242, 0.0, -74.0715, 18.6762];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[1739   76] [1865  182]]
NITROGEN;[4.0092, 0.258747, 3.72317, 0.0, -71.5801, 26.7501];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[1505  226] [1641  339]]
LAPTOP;[3.78376, 0.199045, 3.62227, 0.0, -82.1683, 42.2358];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[2350  543] [2465  640]]
COOLANTWATERRET;[3.78187, 0.248036, 3.81763, 0.0, -79.0037, 52.8088];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[2186  671] [2227  878]]
ToExpratosPack;[3.78912, 0.247385, 3.81507, 0.0, -78.8604, 50.6442];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[2171  676] [2206  821]]
CO;[3.77467, 0.248585, 3.82054, 0.0, -79.4257, 54.1159];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[2225  764] [2263  803]]
PINXUAD-FICION;[3.43609, 0.78813, 3.85625, 0.0, -55.5812, 106.932];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[2115 2868] [2243 2961]]
Iceberg;[3.43886, 0.819933, 3.85762, 0.0, -54.3463, 105.999];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[2039 2932] [2184 3049]]
L;[3.45684, 0.994801, 3.80723, 0.0, -50.4144, 101.889];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[1803 3187] [1843 3234]]
ESS;[3.42947, 0.991482, 3.79808, 0.0, -50.3534, 103.707];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[1833 3183] [1975 3305]]
Light;[3.44207, 1.09273, 3.85209, 0.0, -45.0119, 102.764];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[1659 3612] [1722 3664]]
S/N040;[3.44207, 1.09273, 3.85209, 0.0, -44.3833, 102.855];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[1633 3657] [1714 3720]]
WARNING;[3.44425, 0.597046, 3.82498, 0.0, -63.1953, 111.482];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[2437 2376] [2563 2478]]
LOCKER;[3.45009, 0.163752, 4.01045, 0.0, -76.7751, 155.621];;data/images/isaac_sci_cam_image_delayed/1657547024.256.jpg;[[3398 1354] [3508 1447]]
0-519;[4.18239, 0.339914, 3.71733, 0.0, -62.826, 31.9443];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[1552  411] [1994  697]]
5285;[4.17657, 0.805677, 3.69002, 0.0, -52.9248, 56.589];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[2373 1458] [2674 1635]]
GLOVEBOX(M5G);[3.88872, 1.09969, 3.98123, 0.0, -41.1485, 77.5507];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[3360 2261] [3792 2439]]
ENCE;[3.99038, 1.10092, 3.97971, 0.0, -40.5121, 72.4858];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[3235 2389] [3374 2470]]
RA-12/EARLY;[4.65894, 0.376467, 3.74956, 0.0, -47.6523, 18.909];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[ 566 1214] [ 711 1302]]
12001;[4.7314, 0.615539, 3.68369, 0.0, -45.5406, 29.3249];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[ 895 1543] [1292 1845]]
C;[4.58088, 0.852972, 4.22175, 0.0, -30.1932, 42.1117];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[1415 3044] [1442 3067]]
-80;[4.65256, 0.896888, 4.18576, 0.0, -29.963, 41.7094];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[1378 3053] [1414 3080]]
MELFI;[4.66922, 0.895098, 4.1922, 0.0, -29.5723, 41.0109];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[1298 3061] [1377 3107]]
****;[4.6645, 0.902303, 4.19735, 0.0, -29.3464, 41.4442];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[1280 3069] [1447 3154]]
-5;[4.18037, 0.345229, 3.71031, 0.0, -63.0366, 32.3466];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[1710  474] [1882  622]]
ACCESS);[4.17943, 0.706459, 3.72149, 0.0, -54.3451, 52.6022];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[2316 1392] [2416 1451]]
RODENT;[4.22468, 0.699621, 3.71493, 0.0, -53.8648, 50.1559];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[2212 1410] [2306 1466]]
(EARLY;[4.22683, 0.714328, 3.70813, 0.0, -53.7648, 50.756];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[2241 1427] [2326 1478]]
XPPESS2;[4.51086, 0.85091, 3.87518, 0.0, -41.9287, 44.2483];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[1651 2142] [1930 2299]]
Light;[4.56853, 1.04736, 3.84123, 0.0, -38.7597, 48.6055];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[1956 2482] [2001 2510]]
S/N019;[4.58654, 1.08351, 3.83165, 0.0, -38.3232, 49.0684];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[1971 2515] [2030 2550]]
3;[4.35403, 0.928809, 4.12707, 0.0, -35.444, 52.6488];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[2160 2759] [2183 2792]]
(MELFI);[4.39404, 0.9393, 4.12739, 0.0, -34.8548, 51.2146];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[2000 2762] [2161 2847]]
ISS;[4.44739, 0.941267, 4.12254, 0.0, -34.2223, 49.5572];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[1929 2810] [2013 2869]]
REEZER;[4.5059, 0.955855, 4.11016, 0.0, -33.5234, 47.9567];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[1782 2835] [1942 2914]]
Ela;[4.61168, 0.93601, 4.12766, 0.0, -31.6639, 43.9012];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[1546 2951] [1600 2984]]
MINUS;[4.63512, 0.910818, 4.14699, 0.0, -31.1268, 42.6528];;data/images/isaac_sci_cam_image_delayed/1657546999.425.jpg;[[1421 2958] [1547 3025]]
